id,value
AgglomerativeCluster,3938
CommunityStructure,3812
HierarchicalCluster,6714
MergeEdge,743
BetweennessCentrality,3534
LinkDistance,5731
MaxFlowMinCut,7840
ShortestPaths,5914
SpanningTree,3416
AspectRatioBanker,7074
Easing,17010
FunctionSequence,5842
ArrayInterpolator,1983
ColorInterpolator,2047
DateInterpolator,1375
Interpolator,8746
MatrixInterpolator,2202
NumberInterpolator,1382
ObjectInterpolator,1629
PointInterpolator,1675
RectangleInterpolator,2042
ISchedulable,1041
Parallel,5176
Pause,449
Scheduler,5593
Sequence,5534
Transition,9201
Transitioner,19975
TransitionEvent,1116
Tween,600
Converters,721
DelimitedTextConverter,4294
GraphMLConverter,9800
IDataConverter,1314
JSONConverter,2220
DataField,1759
DataSchema,2165
DataSet,586
DataSource,3331
DataTable,772
DataUtil,332
DirtySprite,8833
LineSprite,1732
RectSprite,3623
TextSprite,10066
FlareVis,4116
DragForce,1082
GravityForce,1336
IForce,319
NBodyForce,10498
Particle,282
Simulation,9983
Spring,2213
SpringForce,1681
AggregateExpression,1616
And,1027
Arithmetic,3891
Average,891
BinaryExpression,2893
Comparison,5103
CompositeExpression,3677
Count,781
DateUtil,4141
Distinct,933
Expression,513
ExpressionIterator,3617
Fn,3240
If,273
IsA,2039
Literal,1214
Match,3748
Maximum,843
add,593
and,330
average,287
count,277
distinct,292
div,595
eq,594
fn,460
gt,603
gte,62
iff,748
isa,461
lt,597
lte,619
max,283
min,283
mod,591
mul,603
neq,599
not,386
or,323
orderby,307
range,772
select,296
stddev,363
sub,600
sum,280
update,307
variance,335
where,299
xor,354
Minimum,843
Not,1554
Or,970
Query,13896
Range,1594
StringUtil,41
Sum,791
Variable,1124
Variance,1876
Xor,1101
IScaleMap,2105
LinearScale,1316
LogScale,3151
OrdinalScale,3770
QuantileScale,2435
QuantitativeScale,4839
RootScale,1756
Scale,4268
ScaleType,1821
TimeScale,5833
Arrays,8258
Colors,10001
Dates,8217
Displays,12555
Filter,2324
Geometry,10993
FibonacciHeap,9354
HeapNode,1233
IEvaluable,335
IPredicate,383
IValueProxy,874
DenseMatrix,3165
IMatrix,2815
SparseMatrix,3366
Maths,17705
Orientation,148
ColorPalette,6367
Palette,1229
ShapePalette,2059
SizePalette,2291
Property,5559
Shapes,19118
4,68
Stats,6557
Strings,22026
Axes,1302
อะไร,24593
AxisGridLine,652
AxisLabel,636
CartesianAxes,6703
AnchorControl,2138
ClickControl,3824
Control,1353
ControlList,4665
DragControl,2649
ExpandControl,2832
HoverControl,4896
IControl,76
PanZoomControl,5222
SelectionControl,7862
TooltipControl,8435
4,20544
DataList,19788
DataSprite,10349
EdgeSprite,3301
NodeSprite,19382
ArrowType,698
EdgeRenderer,5569
IRenderer,353
ShapeRenderer,2247
ScaleBinding,11275
Tree,7147
TreeBuilder,9930
DataEvent,2313
SelectionEvent,1880
TooltipEvent,1701
VisualizationEvent,1117
Legend,2085
LegendItem,4614
LegendRange,10530
BifocalDistortion,4461
Distortion,6314
FisheyeDistortion,3444
ColorEncoder,3179
Encoder,4060
PropertyEncoder,4138
ShapeEncoder,169
SizeEncoder,1830
FisheyeTreeFilter,5219
GraphDistanceFilter,316
VisibilityFilter,3509
IOperator,1286
Labeler,9956
RadialLabeler,3899
StackedAreaLabeler,3202
AxisLayout,6725
BundledEdgeRouter,3727
CircleLayout,9317
CirclePackingLayout,12003
DendrogramLayout,4853
ForceDirectedLayout,8411
IcicleTreeLayout,48
IndentedTreeLayout,3174
Layout,7881
NodeLinkTreeLayout,12870
PieLayout,2728
RadialTreeLayout,12348
RandomLayout,870
StackedAreaLayout,9121TreeMapLayout,9191
Operator,2490
OperatorList,5248
OperatorSequence,4190
OperatorSwitch,2581
SortOperator,2023
Visualization,16540